,x,y,z,out
0,2,58,57,43.17
1,82,49,61,50.25000000000001
2,10,88,76,60.78
3,1,69,74,54.39
4,86,44,77,57.57
5,36,43,77,52.83
6,15,7,56,31.59
7,40,51,71,52.050000000000004
8,38,33,14,18.480000000000004
9,29,43,27,26.700000000000003
10,64,33,20,23.879999999999995
11,39,51,46,39.209999999999994
12,55,55,7,21.72
13,50,4,47,29.43
14,85,60,63,54.18
15,93,1,11,14.220000000000002
16,6,46,90,57.48
17,9,74,65,51.72
18,44,53,25,29.43
19,30,48,99,64.71
20,78,22,98,62.28
21,21,69,53,45.480000000000004
22,2,79,81,60.449999999999996
23,96,34,33,33.63
24,72,29,55,41.49
25,49,35,96,61.77
26,88,30,42,36.54
27,97,47,6,23.07
28,59,50,52,43.83
29,37,56,69,51.959999999999994
30,99,99,79,72.96000000000001
31,30,78,24,33.660000000000004
32,15,58,40,35.67
33,56,43,81,56.67
34,93,0,26,21.630000000000003
35,21,99,78,65.42999999999999
36,43,85,93,71.7
37,89,90,71,65.82
38,39,77,2,23.009999999999998
39,57,10,81,48.83999999999999
40,28,85,39,42.81
41,54,73,68,57.059999999999995
42,38,4,4,6.42
43,36,16,32,23.4
44,11,24,47,30.72
45,9,76,48,43.53
46,9,85,76,59.96999999999999
47,19,0,25,14.459999999999999
48,34,13,82,48.0
49,10,81,88,65.22
50,94,68,85,68.13
51,96,21,68,48.36
52,69,36,52,41.37
53,31,13,53,32.940000000000005
54,97,95,77,70.8
55,46,34,93,59.73
56,51,8,71,42.72
57,9,1,95,49.5
58,55,19,75,47.76
59,55,2,39,25.32
60,83,30,43,36.6
61,2,45,68,45.660000000000004
62,12,99,42,46.26
63,97,61,18,32.550000000000004
64,13,76,72,56.13
65,89,80,17,35.88
66,36,45,86,57.89999999999999
67,49,32,94,60.029999999999994
68,63,14,1,9.540000000000001
69,7,49,43,34.32
70,99,1,9,13.74
71,3,43,64,43.230000000000004
72,82,83,21,38.01
73,35,95,36,44.309999999999995
74,78,97,18,39.480000000000004
75,14,71,24,30.54
76,93,17,38,31.83
77,91,91,33,46.86
78,99,93,32,47.55
79,78,67,68,57.779999999999994
80,13,47,94,60.39
81,18,76,4,21.900000000000002
82,76,12,34,27.060000000000002
83,33,45,4,15.810000000000002
84,35,20,28,22.230000000000004
85,10,51,76,51.900000000000006
86,27,56,55,43.92
87,89,92,38,49.470000000000006
88,96,9,84,53.64
89,13,41,16,19.17
90,66,59,64,52.74
91,69,33,97,63.599999999999994
92,7,96,16,31.83
93,8,70,6,20.580000000000002
94,10,90,62,54.11999999999999
95,80,83,91,73.53
96,38,54,0,16.380000000000003
97,67,6,11,13.08
98,12,88,69,57.38999999999999
99,79,78,7,29.399999999999995
100,28,36,56,39.72
101,93,51,79,60.90000000000001
102,29,99,4,28.410000000000004
103,28,47,29,28.590000000000003
104,90,47,66,53.040000000000006
105,68,73,57,52.71
106,55,6,10,11.489999999999998
107,50,61,62,50.76
108,48,78,19,32.730000000000004
109,22,15,39,25.47
110,31,1,18,12.21
111,53,52,33,34.08
112,18,26,53,34.89000000000001
113,60,60,85,63.15
114,21,0,74,39.629999999999995
115,24,26,74,46.13999999999999
116,81,32,86,58.82999999999999
117,85,30,78,54.63
118,79,97,41,51.29999999999999
119,32,45,86,57.53999999999999
120,13,39,33,27.36
121,9,77,50,44.79
122,3,78,32,35.309999999999995
123,76,69,92,70.32000000000001
124,71,73,82,65.73
125,15,8,53,30.3
126,57,27,92,58.529999999999994
127,12,35,1,9.99
128,46,18,19,18.150000000000002
129,35,15,36,25.109999999999996
130,61,59,29,34.440000000000005
131,4,5,87,45.93
132,73,16,28,24.69
133,96,19,57,42.27
134,34,3,65,36.93
135,81,33,38,34.59
136,11,37,9,14.459999999999997
137,79,33,8,19.109999999999996
138,71,81,15,33.480000000000004
139,88,17,6,15.059999999999999
140,6,43,55,38.910000000000004
141,49,30,88,56.489999999999995
142,97,40,99,68.82
143,76,37,77,54.99000000000001
144,13,51,48,37.89
145,78,89,7,31.950000000000003
146,2,79,20,29.34
147,97,73,21,36.959999999999994
148,10,35,18,18.48
149,93,60,29,37.56
150,22,22,37,26.13
151,98,83,72,65.46
152,14,38,27,24.150000000000002
153,0,44,96,59.52
154,7,26,80,47.67
155,98,3,37,28.41
156,10,34,61,40.17000000000001
157,67,39,47,39.36
158,82,55,68,55.260000000000005
159,72,65,87,66.44999999999999
160,55,8,73,44.1
161,1,31,56,36.089999999999996
162,22,59,76,54.9
163,18,91,72,60.17999999999999
164,37,63,47,42.42
165,17,85,83,64.26
166,11,24,5,9.3
167,4,71,9,21.99
168,54,56,66,51.959999999999994
169,87,91,18,38.85
170,71,25,68,47.07000000000001
171,76,97,50,55.62
172,39,61,47,42.12
173,46,15,90,53.64
174,5,15,74,41.79
175,85,12,29,25.32
176,15,41,78,50.97
177,0,65,16,23.759999999999994
178,91,61,86,66.69
179,31,3,65,36.660000000000004
180,5,35,32,25.17
181,81,51,4,21.57
182,69,72,90,69.39
183,76,82,46,49.98
184,58,58,22,30.360000000000003
185,89,57,46,45.14999999999999
186,23,39,27,25.200000000000003
187,53,34,71,49.14
188,3,96,20,33.51
189,40,72,90,66.78
190,12,2,20,11.759999999999998
191,5,56,82,55.71000000000001
192,28,19,8,11.16
193,6,21,1,6.09
194,47,22,84,52.349999999999994
195,15,22,13,13.259999999999998
196,58,79,70,59.87999999999999
197,8,68,56,45.6
198,80,20,93,59.43
199,15,82,25,33.78
200,71,46,92,64.35000000000001
201,21,39,7,14.819999999999999
202,0,52,35,30.33
203,62,21,76,49.38
204,42,83,63,55.830000000000005
205,25,97,33,42.36000000000001
206,55,4,35,23.759999999999998
207,57,1,20,15.569999999999999
208,68,87,27,40.769999999999996
209,77,21,29,26.76
210,83,73,98,74.97
211,25,8,80,44.97
212,68,10,64,41.160000000000004
213,31,62,59,47.76
214,8,39,51,36.09
215,98,67,25,37.64999999999999
216,81,2,19,17.459999999999997
217,47,26,18,19.65
218,50,24,54,37.8
219,9,45,23,23.34
220,73,64,13,28.559999999999995
221,58,63,63,52.47
222,91,87,48,53.550000000000004
223,70,11,37,27.810000000000002
224,98,0,88,53.7
225,6,37,1,9.93
226,46,65,81,61.05
227,5,89,7,25.38
228,62,12,29,23.25
229,17,35,55,37.980000000000004
230,27,17,70,42.21000000000001
231,97,91,88,75.45
232,75,78,67,59.639999999999986
233,59,44,36,34.23
234,98,77,70,62.99999999999999
235,94,12,67,45.51
236,10,39,51,36.27
237,84,85,76,66.71999999999998
238,99,10,22,22.53
239,33,31,10,15.509999999999998
240,93,55,72,58.29
241,88,80,0,27.12
242,79,49,27,32.64
243,43,55,83,59.4
244,12,80,46,43.74
245,47,78,59,53.03999999999999
246,70,58,41,41.13
247,45,85,7,28.019999999999996
248,68,80,43,47.25
249,58,61,46,43.32
250,44,15,64,40.2
251,65,72,55,51.18
252,73,84,14,33.87
253,60,52,12,24.0
254,32,21,62,39.54
255,85,6,73,46.32
256,7,34,49,33.78
257,51,73,0,22.11
258,62,56,70,54.720000000000006
259,73,69,84,65.97
260,58,77,97,73.17
261,57,61,0,19.769999999999996
262,79,84,11,32.879999999999995
263,87,74,14,32.730000000000004
264,81,93,44,52.050000000000004
265,20,3,35,20.369999999999997
266,93,83,7,31.860000000000003
267,85,92,74,67.47
268,90,69,17,33.33
269,25,96,44,47.730000000000004
270,29,77,6,24.149999999999995
271,99,11,89,56.94
272,39,13,69,41.81999999999999
273,80,18,18,20.699999999999996
274,91,66,34,41.37
275,89,49,43,41.69999999999999
276,30,66,17,27.209999999999997
277,96,64,74,61.739999999999995
278,24,75,9,24.75
279,30,13,64,38.46
280,16,38,11,16.169999999999998
281,18,67,56,46.26
282,32,6,84,47.160000000000004
283,75,88,45,50.82
284,70,75,82,66.12
285,38,23,35,26.790000000000003
286,58,96,44,50.7
287,47,9,57,35.459999999999994
288,50,11,94,55.08
289,26,83,17,30.93
290,75,25,22,23.97
291,64,52,78,58.019999999999996
292,73,85,6,30.03
293,8,30,64,40.56000000000001
294,74,43,61,48.089999999999996
295,8,64,2,17.1
296,97,76,88,71.85000000000001
297,20,42,39,31.77
298,66,87,71,63.029999999999994
299,47,97,59,57.599999999999994
300,90,87,80,69.78
301,8,0,80,41.519999999999996
302,68,52,90,64.5
303,50,68,21,31.529999999999998
304,62,7,13,13.889999999999999
305,89,72,78,65.07
306,94,85,62,60.480000000000004
307,36,31,54,38.22
308,92,85,46,52.14
309,52,5,41,26.790000000000003
310,83,75,63,57.599999999999994
311,82,59,4,23.580000000000005
312,53,38,6,16.950000000000003
313,8,56,74,51.900000000000006
314,39,72,22,32.01
315,31,42,5,15.419999999999998
316,96,85,9,33.63
317,94,9,60,41.21999999999999
318,62,7,76,46.02
319,85,34,54,43.35
320,16,51,48,38.160000000000004
321,29,27,93,56.519999999999996
322,65,50,38,37.23
323,77,72,19,33.89999999999999
324,99,70,84,68.55
325,1,75,28,32.370000000000005
326,21,90,70,59.19
327,32,39,99,62.73
328,44,53,4,18.72
329,66,36,75,52.83
330,61,9,42,29.07
331,10,99,71,60.870000000000005
332,20,63,7,20.490000000000002
333,7,27,17,15.779999999999998
334,75,90,44,50.79
335,78,48,16,26.700000000000003
336,12,98,19,34.28999999999999
337,38,40,50,38.519999999999996
338,19,24,83,49.8
339,13,88,38,41.669999999999995
340,59,0,26,18.57
341,16,76,80,60.48
342,16,72,81,60.03
343,30,2,19,12.870000000000003
344,72,16,14,17.46
345,54,54,8,21.899999999999995
346,30,55,30,31.2
347,84,83,85,70.83
348,79,1,39,27.24
349,11,49,29,27.540000000000003
350,16,25,77,46.709999999999994
351,41,41,70,49.230000000000004
352,92,65,80,64.67999999999999
353,45,72,94,69.27000000000001
354,26,72,19,29.310000000000002
355,85,55,94,68.78999999999999
356,30,61,62,48.959999999999994
357,45,22,10,14.43
358,68,24,84,54.720000000000006
359,97,94,14,38.43
360,72,44,59,47.129999999999995
361,78,82,36,45.06
362,20,82,49,46.470000000000006
363,3,83,22,31.41
364,73,75,6,27.63
365,79,40,36,35.07
366,32,58,14,23.94
367,21,87,0,22.770000000000003
368,51,53,19,27.0
369,7,70,16,25.59
370,1,35,12,14.61
371,27,0,67,36.6
372,28,18,45,29.79
373,27,19,89,52.38
374,56,44,73,52.83
375,94,25,61,45.57
376,8,7,62,34.02
377,96,2,10,14.220000000000002
378,70,8,79,48.51
379,80,39,49,41.55
380,51,60,93,66.42
381,79,17,1,11.7
382,66,56,75,57.629999999999995
383,71,4,64,39.99
384,32,71,69,55.10999999999999
385,25,64,50,43.11
386,89,99,38,51.15
387,0,1,90,46.14
388,27,62,59,47.4
389,58,48,0,16.74
390,94,36,98,67.08
391,36,1,82,45.300000000000004
392,60,55,53,45.63
393,30,54,13,22.29
394,43,59,44,40.470000000000006
395,43,42,42,35.370000000000005
396,79,77,96,74.55000000000001
397,32,25,62,40.5
398,44,82,27,37.410000000000004
399,24,11,5,7.35
400,80,57,1,21.389999999999997
401,38,45,40,34.62
402,54,73,54,49.919999999999995
403,7,68,21,27.66
404,49,30,33,28.439999999999998
405,92,8,50,35.7
406,55,18,10,14.370000000000001
407,7,86,89,66.66
408,99,99,45,55.61999999999999
409,7,49,50,37.89
410,56,51,21,27.990000000000002
411,65,0,33,22.680000000000003
412,10,9,12,9.18
413,20,28,47,32.49
414,23,86,96,71.67
415,78,75,24,37.260000000000005
416,82,66,56,51.78000000000001
417,66,4,32,23.22
418,87,42,81,59.22
419,64,40,14,22.5
420,68,35,22,25.74
421,20,0,21,12.51
422,92,47,90,65.46000000000001
423,38,14,77,46.05
424,92,38,45,40.35
425,31,49,22,25.769999999999996
426,16,38,50,36.06
427,20,16,63,37.77
428,14,23,93,54.21
429,66,86,77,65.85000000000001
430,63,24,69,46.620000000000005
431,97,20,71,49.74
432,93,24,13,20.759999999999998
433,54,30,92,58.98
434,64,30,81,54.269999999999996
435,78,54,83,62.30999999999999
436,98,81,63,60.39
437,3,57,96,62.91
438,5,82,58,49.71
439,49,22,70,45.39
440,42,17,51,33.87
441,40,73,0,21.119999999999997
442,52,80,13,30.509999999999998
443,25,24,58,37.589999999999996
444,0,64,34,32.7
445,65,98,17,38.03999999999999
446,14,4,17,10.89
447,39,4,16,12.63
448,97,19,54,40.830000000000005
449,82,26,34,30.96
450,11,90,89,67.98
451,90,42,48,42.660000000000004
452,65,67,25,34.68
453,97,76,92,73.88999999999999
454,63,25,77,50.940000000000005
455,73,87,30,42.75
456,60,37,84,57.12
457,89,27,26,27.749999999999996
458,11,83,51,46.919999999999995
459,89,86,22,39.87
460,91,52,69,55.86
461,20,36,19,20.13
462,75,58,95,69.12
463,15,24,19,16.8
464,57,42,81,56.519999999999996
465,92,13,73,48.63
466,26,50,99,64.83
467,90,13,17,19.89
468,95,15,63,44.28
469,49,40,10,19.109999999999996
470,7,94,71,59.4
471,62,26,84,54.66
472,91,79,52,53.67
473,87,19,13,19.020000000000003
474,35,28,99,60.36
475,73,45,83,59.699999999999996
476,50,67,77,59.849999999999994
477,73,50,15,26.22
478,52,53,88,62.28000000000001
479,29,74,42,41.790000000000006
480,79,68,33,40.26
481,37,81,73,60.0
482,74,92,80,69.53999999999999
483,61,90,8,31.169999999999998
484,68,56,93,66.99
485,55,75,5,25.5
486,21,43,86,56.06999999999999
487,17,95,57,53.4
488,84,73,97,74.55000000000001
489,51,86,75,63.480000000000004
490,9,71,88,62.730000000000004
491,26,11,54,32.52
492,72,43,48,41.28000000000001
493,66,56,19,29.070000000000004
494,45,39,40,33.809999999999995
495,15,86,56,50.550000000000004
496,96,19,87,57.57000000000001
497,44,10,79,46.65
498,31,9,49,29.94
499,67,19,45,33.54
500,10,42,29,25.770000000000003
501,1,95,68,57.57000000000001
502,60,28,60,42.72
503,43,93,48,50.67
504,93,73,91,72.3
505,9,4,41,22.68
506,67,12,7,12.48
507,82,81,84,69.66000000000001
508,27,5,69,38.82
509,28,90,71,60.33
510,26,79,32,37.620000000000005
511,1,65,24,27.93
512,19,53,31,30.240000000000002
513,26,19,48,31.380000000000003
514,2,83,44,42.54
515,26,10,91,51.15
516,0,93,3,23.849999999999994
517,36,98,3,28.29
518,21,74,79,59.94
519,86,79,79,66.99
520,44,64,2,20.339999999999996
521,48,15,79,48.21000000000001
522,63,58,65,52.739999999999995
523,54,40,27,28.23
524,12,48,43,34.529999999999994
525,78,28,68,48.42
526,22,99,80,66.53999999999999
527,72,43,97,66.27
528,26,41,94,60.12
529,74,91,99,78.99000000000001
530,48,3,63,37.17000000000001
531,65,50,20,28.049999999999997
532,68,57,42,41.22
533,64,85,62,57.779999999999994
534,6,72,70,53.52
535,95,78,87,71.64
536,75,54,52,46.23
537,3,55,54,41.010000000000005
538,86,0,86,51.6
539,95,99,53,59.34
540,14,29,37,27.090000000000003
541,45,22,87,53.7
542,46,89,98,75.48
543,38,80,70,58.31999999999999
544,29,67,96,67.64999999999999
545,94,49,66,53.879999999999995
546,9,83,2,21.749999999999996
547,38,10,33,22.65
548,39,77,4,24.03
549,48,49,66,49.74
550,66,7,78,47.4
551,77,38,56,44.61
552,11,70,98,67.77
553,92,0,30,23.580000000000002
554,90,18,88,57.3
555,61,56,74,56.67
556,89,71,6,28.109999999999992
557,70,25,4,14.34
558,1,92,87,66.54
559,92,56,79,62.010000000000005
560,48,3,54,32.58
561,41,51,11,21.54
562,98,20,81,54.93
563,2,46,79,51.50999999999999
564,49,49,51,42.17999999999999
565,36,63,21,29.069999999999997
566,77,73,34,41.78999999999999
567,54,18,72,45.900000000000006
568,33,34,24,23.370000000000005
569,67,7,64,40.349999999999994
570,15,74,42,40.529999999999994
571,38,4,63,36.51
572,8,35,87,53.49000000000001
573,46,8,59,36.150000000000006
574,26,89,80,64.5
575,68,70,0,22.92
576,21,81,39,41.22
577,39,34,86,55.529999999999994
578,81,39,85,60.0
579,73,87,79,67.74000000000001
580,24,39,8,15.600000000000001
581,42,36,54,39.96
582,92,46,85,62.67
583,20,38,41,31.830000000000005
584,3,52,14,19.890000000000004
585,36,64,69,53.79
586,51,14,12,14.070000000000002
587,74,52,68,53.82
588,64,62,9,25.229999999999997
589,90,98,56,60.18
590,19,43,89,57.42
591,44,84,84,66.96
592,91,11,59,40.92
593,77,52,4,21.450000000000003
594,79,1,91,53.75999999999999
595,76,9,61,40.11
596,73,89,45,50.879999999999995
597,44,95,91,73.16999999999999
598,11,77,54,47.010000000000005
599,78,83,31,42.75
600,32,89,29,39.029999999999994
601,2,19,54,32.28
602,70,22,4,13.619999999999997
603,94,12,67,45.51
604,94,8,13,17.01
605,80,43,51,43.53
606,88,33,74,53.580000000000005
607,21,47,2,14.189999999999998
608,15,80,66,54.21
609,15,1,33,18.42
610,78,97,92,77.21999999999998
611,58,26,27,25.230000000000004
612,37,10,13,12.36
613,70,21,75,49.589999999999996
614,64,89,12,33.24
615,24,0,85,45.51
616,84,66,2,24.419999999999995
617,84,42,32,33.96
618,75,40,96,65.31
619,88,39,1,17.79
620,62,42,1,16.169999999999995
621,87,57,35,39.36
622,37,72,95,69.06
623,33,33,13,17.519999999999996
624,86,7,48,33.9
625,64,62,68,55.32
626,22,76,18,29.4
627,27,81,49,46.85999999999999
628,69,42,64,48.93
629,77,51,67,53.339999999999996
630,27,83,62,53.97
631,2,62,23,26.789999999999996
632,18,63,6,19.8
633,30,2,6,6.24
634,46,75,39,42.03
635,15,51,80,54.39
636,49,74,35,40.019999999999996
637,93,77,69,62.040000000000006
638,88,71,19,34.65
639,39,88,71,60.839999999999996
640,36,67,26,32.58
641,97,3,53,36.480000000000004
642,57,61,76,58.529999999999994
643,92,70,17,33.74999999999999
644,17,88,61,53.76
645,39,31,28,25.23
646,67,6,94,55.41
647,98,50,96,69.78
648,71,62,33,38.1
649,83,12,57,39.42
650,63,35,68,48.74999999999999
651,88,10,83,52.65
652,90,98,84,74.46
653,35,60,67,51.71999999999999
654,55,3,59,35.76
655,53,90,5,28.919999999999998
656,16,79,67,54.57
657,73,82,25,38.99999999999999
658,33,40,82,54.39000000000001
659,18,60,88,60.9
660,97,19,85,56.64
661,24,91,10,29.099999999999998
662,19,44,6,15.329999999999998
663,28,97,24,38.040000000000006
664,6,86,37,40.05000000000001
665,6,86,53,48.21
666,49,14,97,57.24
667,86,62,23,34.35
668,86,91,30,44.88
669,91,8,46,33.57
670,57,85,20,35.730000000000004
671,64,26,13,18.630000000000003
672,99,41,82,60.57
673,63,91,80,68.30999999999999
674,74,22,9,16.53
675,68,80,9,29.910000000000004
676,47,64,33,36.42
677,39,30,61,41.82
678,73,55,33,36.6
679,89,63,19,32.81999999999999
680,41,23,9,13.8
681,36,98,22,37.98000000000001
682,95,86,61,60.300000000000004
683,61,0,73,42.720000000000006
684,34,9,18,14.400000000000002
685,41,26,37,28.8
686,89,19,12,18.690000000000005
687,18,1,70,37.56
688,59,64,45,43.62
689,99,98,91,78.83999999999999
690,35,67,62,50.849999999999994
691,99,33,77,56.1
692,38,98,28,41.22
693,65,3,63,38.7
694,40,35,87,56.370000000000005
695,10,4,59,31.95
696,35,82,15,30.48
697,70,98,86,73.67999999999999
698,47,94,41,47.7
699,97,27,86,59.06999999999999
700,95,0,45,31.5
701,33,79,3,23.459999999999997
702,25,65,87,62.220000000000006
703,82,23,21,23.61
704,60,70,49,47.19
705,17,83,36,39.81
706,83,98,93,78.42
707,92,49,75,58.29
708,74,37,35,33.38999999999999
709,63,43,26,29.250000000000004
710,3,89,65,54.779999999999994
711,56,38,23,25.890000000000004
712,61,93,84,70.65
713,46,32,98,61.800000000000004
714,36,98,90,72.65999999999998
715,50,1,19,14.430000000000001
716,81,43,5,20.16
717,40,23,62,40.739999999999995
718,21,42,69,47.160000000000004
719,20,20,87,50.970000000000006
720,19,75,58,49.29
721,67,67,76,60.870000000000005
722,8,64,12,22.200000000000003
723,28,27,99,59.49
724,63,92,28,42.03
725,20,18,19,15.810000000000002
726,81,38,32,32.730000000000004
727,48,66,24,32.4
728,67,89,49,52.37999999999999
729,8,49,82,54.30000000000001
730,0,93,92,69.24000000000001
731,80,91,37,47.91
732,57,32,37,31.679999999999996
733,18,58,44,37.980000000000004
734,91,50,24,32.43000000000001
735,72,55,2,20.7
736,75,10,78,48.93000000000001
737,64,63,18,30.06
738,20,1,35,19.89
739,35,57,25,29.58
740,15,61,60,46.589999999999996
741,27,76,67,54.839999999999996
742,48,7,85,49.349999999999994
743,49,67,94,68.42999999999999
744,75,0,80,47.55
745,78,4,47,31.95
746,7,96,21,34.379999999999995
747,60,6,61,37.95
748,82,36,65,49.17
749,75,39,25,28.859999999999996
750,0,11,89,48.03
751,19,82,18,30.569999999999997
752,74,97,44,52.379999999999995
753,48,65,90,65.82
754,66,44,90,62.39999999999999
755,5,2,85,44.28
756,34,0,88,47.94
757,91,17,50,37.77
758,79,71,19,33.839999999999996
759,64,56,23,30.930000000000003
760,60,23,10,16.02
761,83,87,71,64.56
762,48,25,65,43.46999999999999
763,91,73,68,60.39000000000001
764,23,91,20,34.11
765,3,65,3,17.4
766,72,33,97,63.87
767,94,44,37,37.89
768,75,86,65,60.54
769,76,34,74,52.74
770,27,39,14,18.93
771,15,24,32,23.43
772,59,83,77,64.5
773,6,46,21,22.29
774,93,41,60,48.809999999999995
775,9,81,88,65.13000000000001
776,23,94,17,33.3
777,50,32,67,46.349999999999994
778,3,7,35,19.8
779,9,30,35,25.86
780,90,14,70,47.160000000000004
781,0,83,90,65.82
782,35,58,51,43.080000000000005
783,12,94,36,42.0
784,35,22,74,46.17
785,26,67,14,25.560000000000002
786,30,13,94,53.76
787,20,37,22,21.9
788,53,11,13,14.04
789,56,6,9,11.070000000000002
790,86,20,94,60.48
791,2,36,90,54.72
792,32,14,4,8.280000000000001
793,28,68,71,55.050000000000004
794,88,27,31,30.21
795,41,77,66,55.83
796,38,55,89,62.01
797,90,17,47,36.14999999999999
798,65,34,36,32.36999999999999
799,38,44,54,41.52000000000001
800,95,93,99,81.36
801,2,83,90,66.0
802,90,94,5,33.209999999999994
803,72,38,96,64.56
804,92,63,80,64.2
805,32,76,47,45.089999999999996
806,57,96,51,54.18
807,5,29,64,40.050000000000004
808,13,2,73,38.88
809,46,64,39,39.39000000000001
810,71,98,70,65.61
811,17,12,92,51.330000000000005
812,46,58,47,42.03
813,52,41,3,16.049999999999997
814,5,82,43,42.06
815,58,63,24,32.58
816,96,70,9,30.030000000000005
817,23,86,68,57.38999999999999
818,11,25,69,42.18000000000001
819,81,40,52,43.41000000000001
820,75,30,26,27.209999999999997
821,17,9,44,26.13
822,63,62,49,45.540000000000006
823,18,88,31,38.550000000000004
824,86,18,78,51.84
825,75,54,20,29.909999999999997
826,91,97,22,42.690000000000005
827,31,28,67,43.67999999999999
828,43,63,34,36.330000000000005
829,93,69,64,57.57000000000001
830,61,74,89,68.64
831,65,74,9,28.2
832,40,42,84,56.519999999999996
833,40,12,29,21.27
834,31,96,16,33.989999999999995
835,17,66,68,52.050000000000004
836,63,25,29,26.46
837,66,26,23,23.910000000000004
838,69,13,63,41.46
839,20,13,52,31.439999999999998
840,54,59,89,64.41
841,51,4,40,25.95
842,74,7,64,40.98
843,47,22,0,9.509999999999998
844,69,3,46,30.390000000000004
845,23,38,21,21.900000000000002
846,65,57,6,22.589999999999996
847,55,35,12,19.47
848,2,71,38,36.599999999999994
849,36,77,78,61.5
850,85,7,2,10.35
851,90,26,97,63.809999999999995
852,93,0,9,12.96
853,52,35,30,28.379999999999995
854,43,68,68,54.87
855,67,44,42,38.01
